.title na2 
#           v(1)       v(2)       v(4)       v(5)       z(5)       iter(0)   
 0.         0.         0.         0.         0.         NaN        0.        
-1.         5.         0.         190.37     3.9604     4.7499Meg  1.        
-2.         5.         0.         3.0746    -19.898u    997.01Meg  2.        
-3.         5.         0.         5.5536    -9.7462u    996.62Meg  3.        
-4.         5.         0.         5.1613     254.08n    996.23Meg  4.        
-5.         5.         0.         4.9993     260.65n    996.23Meg  5.        
-6.         5.         0.         5.         261.69n    996.23Meg  6.        
-7.         5.         0.         5.         261.69n    996.23Meg  7.        
-8.         5.         0.         5.         261.69n    996.23Meg  8.        
-9.         5.         0.         5.         261.69n    996.23Meg  9.        
 27.        5.         0.         5.         261.69n    996.23Meg  10.       
.print op region(Ddb.Mp1.XI10) region(Ddb.Mp2.XI10) region(Ddb.Mn1.XI1
                 ^ ? no match
.print op region(Ddb.Mp1.XI10) region(Ddb.Mp2.XI10) region(Ddb.Mn1.XI1
                                      ^ ? no match
.print op regio ... db.Mp2.XI10) region(Ddb.Mn1.XI10) region(Ddb.Mn2.XI10) r
                                        ^ ? no match
.print op regio ... db.Mn1.XI10) region(Ddb.Mn2.XI10) region(Dsb.Mn1.XI10) 
                                        ^ ? no match
.print op regio ... db.Mn2.XI10) region(Dsb.Mn1.XI10) 
                                        ^ ? no match
#          
 0.        
-1.        
-2.        
-3.        
-4.        
-5.        
-6.        
-7.        
-8.        
-9.        
 27.       
.print op V(Ddb.Mp1.XI10) V(Ddb.Mp2.XI10) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI
            ^ ? no match
.print op V(Ddb.Mp1.XI10) V(Ddb.Mp2.XI10) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI
                            ^ ? no match
.print op V(Ddb ... ) V(Ddb.Mp2.XI10) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI10) V(Dsb.
                                        ^ ? no match
.print op V(Ddb ... ) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI10) V(Dsb.Mn1.XI10) 
                                        ^ ? no match
.print op V(Ddb ... ) V(Ddb.Mn2.XI10) V(Dsb.Mn1.XI10) 
                                        ^ ? no match
#          
 0.        
-1.        
-2.        
-3.        
-4.        
-5.        
-6.        
-7.        
-8.        
-9.        
 27.       
.print op I(Ddb.Mp1.XI10) I(Ddb.Mp2.XI10) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI
            ^ ? no match
.print op I(Ddb.Mp1.XI10) I(Ddb.Mp2.XI10) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI
                            ^ ? no match
.print op I(Ddb ... ) I(Ddb.Mp2.XI10) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI10) I(Dsb.
                                        ^ ? no match
.print op I(Ddb ... ) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI10) I(Dsb.Mn1.XI10) 
                                        ^ ? no match
.print op I(Ddb ... ) I(Ddb.Mn2.XI10) I(Dsb.Mn1.XI10) 
                                        ^ ? no match
#          
 0.        
-1.        
-2.        
-3.        
-4.        
-5.        
-6.        
-7.        
-8.        
-9.        
 27.       
#Time       v(2)       v(4)       v(5)       iter(0)   
 0.         0.         5.         261.69n    10.       
 1.p       -124.04p    4.9993     261.57n    4.        
 4.p        124.77p    4.9993     261.81n    4.        
 100.p     -124.13p    4.9995     261.57n    4.        
 200.p      124.61p    4.9996     261.81n    4.        
 300.p     -124.25p    4.9997     261.57n    4.        
 400.p      124.52p    4.9998     261.81n    4.        
 500.p     -124.32p    4.9998     261.57n    4.        
 600.p      124.47p    4.9999     261.81n    4.        
 700.p     -124.36p    4.9999     261.57n    4.        
 800.p      124.44p    4.9999     261.81n    4.        
 900.p     -124.38p    5.         261.57n    4.        
 1.n        124.42p    5.         261.81n    4.        
 1.1n       0.25       5.0037     0.25       5.        
 1.2n       0.5        5.0065     0.49999    4.        
 1.3n       0.75       5.0088     0.74996    4.        
 1.4n       1.         5.0106     1.0001     4.        
 1.5n       1.25       5.0122     0.98571    4.        
 1.6n       1.5        5.0131     0.25776    8.        
 1.7n       1.75       5.0092     0.19372    6.        
 1.8n       2.         4.9964     0.26733    6.        
 1.9n       2.25       4.9768     0.29408    5.        
 2.n        2.5        4.9496     0.34519    5.        
 2.1n       2.75       4.9138     0.38125    5.        
 2.2n       3.         4.8674     0.42601    5.        
 2.3n       3.25       4.8078     0.46422    4.        
 2.4n       3.5        4.7309     0.50613    4.        
 2.5n       3.75       4.6335     0.54461    4.        
 2.6n       4.         4.5163     0.58475    4.        
 2.7n       4.25       4.3809     0.62286    4.        
 2.8n       4.5        4.2287     0.66162    4.        
 2.9n       4.75       4.0597     0.6989     4.        
 3.n        5.         3.8735     0.7361     4.        
 3.1n       5.         3.6759     0.71503    5.        
 3.2n       5.         3.4787     0.72478    5.        
 3.3n       5.         3.2822     0.71001    5.        
 3.4n       5.         3.0863     0.71406    5.        
 3.5n       5.         2.8914     0.7027     5.        
 3.6n       5.         2.6972     0.70253    5.        
 3.7n       5.         2.5041     0.6922     5.        
 3.8n       5.         2.3123     0.68764    5.        
 3.9n       5.         2.1222     0.67481    5.        
 4.n        5.         1.9347     0.6616     4.        
 4.1n       5.         1.7513     0.63664    5.        
 4.2n       5.         1.5736     0.60486    4.        
 4.3n       5.         1.4035     0.56366    4.        
 4.4n       5.         1.2424     0.51903    4.        
 4.5n       5.         1.0917     0.47032    5.        
 4.6n       5.         0.95238    0.42175    4.        
 4.7n       5.         0.82503    0.37318    5.        
 4.8n       5.         0.70997    0.32737    5.        
 4.9n       5.         0.60715    0.28403    5.        
 5.n        5.         0.51624    0.24477    5.        
 5.1n       5.         0.43663    0.20904    5.        
 5.2n       5.         0.36755    0.17764    4.        
 5.3n       5.         0.30811    0.14986    5.        
 5.4n       5.         0.25732    0.12601    4.        
 5.5n       5.         0.21421    0.10532    5.        
 5.6n       5.         0.17783    0.087873   4.        
 5.7n       5.         0.14727    0.072942   5.        
 5.8n       5.         0.12172    0.060521   4.        
 5.9n       5.         0.10043    0.049988   4.        
 6.n        5.         0.082749   0.041318   4.        
 6.1n       5.         0.068097   0.034004   4.        
 6.2n       5.         0.055983   0.028035   4.        
 6.3n       5.         0.045986   0.023012   4.        
 6.4n       5.         0.037748   0.018943   4.        
 6.5n       5.         0.030969   0.015518   4.        
 6.6n       5.         0.025395   0.012763   4.        
 6.7n       5.         0.020816   0.010438   4.        
 6.8n       5.         0.017057   0.0085826  4.        
 6.9n       5.         0.013974   0.0070096  4.        
 7.n        5.         0.011445   0.0057643  4.        
 7.1n       5.         0.0093726  0.0047015  4.        
 7.2n       5.         0.0076739  0.0038684  4.        
 7.3n       5.         0.0062827  0.0031508  4.        
 7.4n       5.         0.0051429  0.0025948  4.        
 7.5n       5.         0.0042098  0.0021102  4.        
 7.6n       5.         0.0034456  0.0017401  4.        
 7.7n       5.         0.0028201  0.0014125  4.        
 7.8n       5.         0.0023079  0.0011668  4.        
 7.9n       5.         0.0018889  945.11u    4.        
 8.n        5.         0.0015457  782.49u    4.        
 8.1n       5.         0.001265   632.08u    4.        
 8.2n       5.         0.0010351  524.84u    4.        
 8.3n       5.         847.07u    422.54u    4.        
 8.4n       5.         693.09u    352.14u    4.        
 8.5n       5.         567.21u    282.31u    4.        
 8.6n       5.         464.08u    236.37u    4.        
 8.7n       5.         379.8u     188.5u     4.        
 8.8n       5.         310.73u    158.76u    4.        
 8.9n       5.         254.3u     125.77u    4.        
 9.n        5.         208.05u    106.71u    4.        
 9.1n       5.         170.27u    83.838u    4.        
 9.2n       5.         139.3u     71.79u     4.        
 9.3n       5.         114.01u    55.819u    4.        
 9.4n       5.         93.265u    48.357u    4.        
 9.5n       5.         76.338u    37.109u    4.        
 9.6n       5.         62.444u    32.62u     4.        
 9.7n       5.         51.115u    24.624u    4.        
 9.8n       5.         41.808u    22.046u    4.        
 9.9n       5.         34.227u    16.3u      4.        
 10.n       5.         27.992u    14.933u    4.        
Gnucap   System status
iterations: op=10, dc=0, tran=450, fourier=0, total=593
transient timesteps: accepted=103, rejected=0, total=103
nodes: user=4, subckt=0, model=0, total=4
dctran density=87.5%, ac density=87.5%
